product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text
Chobani Original,8,I like the taste. I like how creamy it is. I like the chunks of strawberries.,4,I thought it would be bigger chunks of fruit since it says fruit on the bottom. It's mainly juice and small pieces of fruit at the bottom.,Thicker
Chobani Smooth,8,Great consistency. It lived up to the  smooth  name.,4,None,Could use a little extra flavor
Chobani Original,9,I enjoy the flavor of the yogurt and the tart of it. I also like the amount of fruit on the bottom.,3,I think the packaging shows everything this yogurt encompasses. I like the lettering that tell there is fruit on the bottom.,I really enjoy this yogurt. I would keep it the same.
Chobani Smooth,8,"Smooth and creamy with no seeds, tastes like strawberry ice cream.  No bad aftertaste.",5,"It said low fat, but didn't taste like low fat.  Was very impressed by the taste.",Larger container and more varieties
Chobani Original,7,Did not have a sour taste like some Greek yogurts,3,120 calories for nonfat yogurt seems like a lot.  Some of the wording was so small on the container I couldn't read it-under the pictures where it says Keep It Real.,I'm not a real fan of the fruit that u stir into the product.  When I tore off the cover the top of the product was a bit watery and looked a little separated.
Chobani Smooth,4,It was very creamy. The bits of strawberry added flavor.,3,The content label was difficult to read and hard to find.,It was TOO sweet! Way too sweet. I would not buy this because of the 19 grams of sugar. I feel as though the protein content should meet or exceed the amount of sugar in a container of yogurt.
Chobani Original,8,"I like the creaminess, texture, and pleasant aftertaste. I really enjoy the thickness of this Chobani Greek Yogurt.",4,"The average price is higher than expected, by about $0.20. This packaging isn't much different than the regular Chobani yogurt, so maybe to help stand out that this product has fruit on the bottom would be helpful.",I would prefer slightly more fruit.
Chobani Smooth,7,"Very smooth, a great taste that's a balance of sweet and tangy. I liked that it tasted more like Greek yogurt than regular yogurt.",4,"The package said it was regular yogurt, but it tasted like greek yogurt.","It was very watery. When I opened the lid, water splashed out. Even when I mixed it together, it was very runny."
Chobani Original,9,I liked the strawberry flavor and the creamy Greek style consistency. I also liked the nutritional info.,4,Try to communicate that the yogurt is Greek style but is creamy!,Eliminate or at least reduce the added cane sugar.
Chobani Smooth,8,It has a nice pink color and pleasant strawberry smell.  I enjoyed the smooth texture and a good aftertaste.  The amount of sweetness was just right as well.,4,It says real fruit but found none.  It was unexpected to have less sugar with as much sweetness as it had.  I'm also surprised it has more protein.,I would like it to be a little thicker.  It should also have more/larger fruit pieces since the packaging says  real fruit .  I didn't have much fruit in my sample.
Chobani Original,8,good amount of real fruit mixed with yogurt  -just the right amount of sweetness  -liked the thickness and texture of this sample  -pleasant aftertaste,3,N/A,nothing comes to mind
Chobani Smooth,7,it was smooth without chunks,3,It was very watery...there was too much on the label making it hard to really see what makes it different from the other yogurts on the shelf,"I would make it thicker, it was too watery"
Chobani Original,4,"It's a healthy, packaged option for getting protein. It's sweet, but not terribly sugary tasting. The design of the package is easy to hold.",3,Nothing,It's almost too tart/yogurty tasting. I woudl prefer not to have to mix the yogurt. The first view of the product is somewhat unpleasant as it's watery and chunky.
Chobani Smooth,7,Smooth and creamy texture. Good flavor.,5,Fruit bites were unexpected since that information was on side of container and not easy to see. I think fruit bites should be on front of container and not side so it is easily visible. It would be nice to have nutrition facts on container too.,Subtract bits of fruit from product since I don't feel there were that many fruit bites anyways. Make less sweet. Place nutrition facts on container.
Chobani Original,8,Creamy  Smooth  Filling  Ample chunks of strawberry  Real fruit  No after taste  Low in caleries  12 G protein,4,%of protein,Color - brighter pink  Sweeter
Chobani Smooth,8,"I like the flavor of the yogurt, and it has a nice strawberry taste. It was creamy and smooth.",4,"I usually eat greek yogurt, so I was surprised that it was similar in protein. The package does a good job of describing the product.","Nothing. I like that it's lower in sugar than other yogurts, and that it has more protein."
Chobani Original,8,Thick creamy consistency and strong flavor,5,healthful benefits of greek yogurt and calories,it was perfect
Chobani Smooth,8,The creaminess and the smoothness.,4,I was surprised that nowhere on the package did it say to  Stir before consuming to get the best experience!,It needed mixing to get all of the products to be distributed evenly.
Chobani Original,9,"Very satisfying, smooth, creamy",3,nothing unexpected,would love to see sugars at 12 grams
Chobani Smooth,9,"The yogurt is very creamy, the strawberry taste is not tart but very sweet and very present in the product, the chunks of fruit are nice and just the right amount.",4,N/A,More protein.
Chobani Original,7,The packaging is nice and it clearly states what is inside: greek yogurt with strawberry on the bottom,3,I don't think you need to say 0% milkfat AND non fat yogurt on the front packaging. It's the same thing...,I personally didn't think that the product was very pleasant to look at upon stirring. I just didn't think that the fruit looked fresh and tasty.
Chobani Smooth,7,level of sweetness - not too sugary,3,says  full of real fruit  so I expected fruit chunks,"more viscous, less runny"
Chobani Original,8,"Creamy, nice strawberry flavor, not too sweet",3,"Nothing, very straight forward",More strawberry chunks
Chobani Smooth,3,I liked that the yogurt had more protein than regular yogurt.,1,I was surprised that there wasn't an ingredient list of nutrition label on the actual cup of yogurt itself.,It's too sour.  It's too thin and runny. It reminds me a little of one of those drinkable yogurts for small children.
Chobani Original,7,Not sweet. Small globs made seem rich/creamy/thick (like cottage cheese).,3,Part almost gelatin taste. Did not have enough flavor.  Why restate non fat/0% milk fat?   Made will real fruit  felt like it was conveying a higher quantity of fruit than in contain.  Preserve yourself  makes it sound like there is something artificial to preserve you by eating.,Strawberry pieces seemed limp/overly ripe-mushy texture. Hard to tell yogurt was strawberry flavor-almost a gelatin taste.
Chobani Smooth,7,Thin-ness of yogurt. Smoothness.,4,Did not expect the thin-ness of the yogurt or the taste to be so sweet. Would have liked nutritional value and label on package including calorie count.,Make it not so sweet! Add more fruit.
Chobani Original,7,The strawberry flavor and the fruit pieces.,4,Just a little sour-not sure how that would be communicated on the package.,It is a little sour tasting.
Chobani Smooth,7,Creamy and rich,3,"No change to packaging, although I didn't know Chobani made a non-Greek yogurt. I see the packaging says classic but I had initially missed it. not sure how I would recommend to change it to increase awareness.","There was a slight tanginess or bitterness before the sweet finish. It's not that it needs more sweetness, but there is a noticeable tang to it."
Chobani Original,8,"creamy texture, strawberry flavor good",3,Nothing really was what I expected,"less amount of strawberries to mix in, seeds bothered me a little"
Chobani Smooth,7,The extra creamy consistency,4,"nothing. The package was very clear,     When I said I would like it thicker, I prefer yougurts that are not thin in texure, even those that are not greek.",a little thicker
Chobani Original,8,"I like the thickness, taste, texture, strawberry chunks and not just strawberry flavor. I like that it has a lot of protein and only 100 calories. I also like that it is a natural color and not artificially dyed.",4,I had had this yogurt before so I knew what to expect but I paid closer attention this time and it tasted even better with a strong strawberry flavor.,Have the size of the container fit the amount of yogurt so either make the cup smaller or put more yogurt in the cup.
Chobani Smooth,7,"Price, less sugar, more protein, strawberry flavor. I would have wanted to eat another one right after this because the flavor was good.",3,Would like the nutrition information on containers.,Make more filling. I would have had to eat both to feel like I was half full.
Chobani Original,8,Very Smooth and Creamy texture.,3,The amount of fruit at the bottom is a little misleading.  Needs to be more fruit.,"A little sweeter,  More strawberry chunks at the bottom of the cup."
Chobani Smooth,7,I like the smooth texture and even flavors throughout,4,Did not expect fruit chunks being as it is supposed to be smooth,"There were a few small fruit chunks that I did not like, especially because it is being marketed as smooth"
Chobani Original,4,I really liked the thickness of it - it felt heavy (solid),2,The word  Greek  should be bigger/bolder to stand out more and the picture of the strawberry should be smaller,I would change the texture of the strawberries. It was too  jellied  and felt/tasted fake and artificial
Chobani Smooth,7,"Smoothness, the right amount of sweetness",4,"It did not have very much strawberry flavor. If this is the intention, then maybe describe it as  strawberry kiss  or something.",Increase strawberry flavor a little.
Chobani Original,8,"The nutrition label was one of the top reasons I liked this yogurt. I love that it is fat free!     Looking at the first page, I thought there were a variety of appealing flavors to choose from.    Taste: The texture was pretty good, but it could have been smoother. I stirred mine quite a bit and still had some small chunks of yogurt. However, I really liked the size and taste of the strawberries!",5,"The only thing i found confusing was the outside package label, it stated  Strawberries on the bottom . This gave me the impression the yogurt would be sitting on strawberries and the consumer would have to mix them together. However, I opened the yogurt without shaking it, and the yogurt and strawberries were already mixed together with a salmon color. Therefore, this aspect of the product was misguiding.","Like above I would prefer a slightly bit smoother yogurt, but this would not prevent me from buying this in the future. This was a great product!"
Chobani Smooth,8,I liked the strawberry flavor and the fruit pieces.It was smooth and had a nice taste.,3,I was surprised that this yogurt wasn't Greek yogurt. The packaging wasn't totally clear as I associate Chobani with Greek yogurt.,I'm not sure that I would change anything. I would like it better if it were Greek.
Chobani Original,9,I like the thickness of the yogurt and the taste of the Greek yogurt.  It was not sour or too sweet.  There was a good balance of strawberry to yogurt and I liked finding a chunk of strawberry.  I like the packaging because it is unique and easy to find in the yogurt section of a store.,3,Nothing unexpected- this is a yogurt I commonly buy.,It would be nice to have more strawberry pieces.
Chobani Smooth,6,"I liked the creaminess of the product. I also liked the nice, subtle flavor.",4,I was surprised by the amount of creaminess and also the limited number of chunks of fruit.,I would like to see more pieces of fruit in the yogurt. It seemed sort of skimpy on number of fruit pieces.
Chobani Original,8,"Thick, creamy consistency - the thickness makes it seem more like a dessert!  Natural ingredients, good strawberry flavor, no growth hormones.",4,Nothing - it has all the information I need and the information is easy to find.,Would rather have the strawberry mixed into the yogurt (no fruit on the bottom).  I don't like the big strawberry pieces in the fruit on the bottom - not firm and fresh tasting.
