product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Original,"['like', 'taste', 'like', 'creamy', 'like', 'chunk', 'strawberry']",0.7579,,,0.7579
Chobani Smooth,"['great', 'consistency', 'live', 'smooth', 'name']",0.6249,,,0.6249
Chobani Original,"['enjoy', 'flavor', 'yogurt', 'tart', 'also', 'like', 'amount', 'fruit', 'bottom']",0.6908,,,0.6908
Chobani Smooth,"['smooth', 'creamy', 'seed', 'taste', 'like', 'strawberry', 'ice', 'cream', 'bad', 'aftertaste']",-0.6597,,,-0.6597
Chobani Original,"['sour', 'taste', 'like', 'greek', 'yogurt']",0.3612,,,0.3612
Chobani Smooth,"['creamy', 'bit', 'strawberry', 'add', 'flavor']",0.0,,,0.0
Chobani Original,"['like', 'creaminess', 'texture', 'pleasant', 'aftertaste', 'really', 'enjoy', 'thickness', 'chobani', 'greek', 'yogurt']",0.8516,,,0.8516
Chobani Smooth,"['smooth', 'great', 'taste', 'thats', 'balance', 'sweet', 'tangy', 'like', 'taste', 'like', 'greek', 'yogurt', 'regular', 'yogurt']",0.9181,,,0.9181
Chobani Original,"['like', 'strawberry', 'flavor', 'creamy', 'greek', 'style', 'consistency', 'also', 'like', 'nutritional', 'info']",0.6808,,,0.6808
Chobani Smooth,"['nice', 'pink', 'color', 'pleasant', 'strawberry', 'smell', 'enjoy', 'smooth', 'texture', 'good', 'aftertaste', 'amount', 'sweetness', 'right', 'well']",0.9485,,,0.9485
Chobani Original,"['good', 'amount', 'real', 'fruit', 'mixed', 'yogurt', 'right', 'amount', 'sweetness', 'like', 'thickness', 'texture', 'sample', 'pleasant', 'aftertaste']",0.9042,,,0.9042
Chobani Smooth,"['smooth', 'without', 'chunk']",0.0,,,0.0
Chobani Original,"['healthy', 'package', 'option', 'get', 'protein', 'sweet', 'terribly', 'sugary', 'taste', 'design', 'package', 'easy', 'hold']",0.8906,,,0.8906
Chobani Smooth,"['smooth', 'creamy', 'texture', 'good', 'flavor']",0.4404,,,0.4404
Chobani Original,"['creamy', 'smooth', 'filling', 'ample', 'chunk', 'strawberry', 'real', 'fruit', 'taste', 'low', 'caleries', '12', 'g', 'protein']",-0.5106,,,-0.5106
Chobani Smooth,"['like', 'flavor', 'yogurt', 'nice', 'strawberry', 'taste', 'creamy', 'smooth']",0.6486,,,0.6486
Chobani Original,"['thick', 'creamy', 'consistency', 'strong', 'flavor']",0.5106,,,0.5106
Chobani Smooth,"['creaminess', 'smoothness']",0.0,,,0.0
Chobani Smooth,"['creaminess', 'smoothness']",0.0,,,0.0
Chobani Original,"['satisfy', 'smooth', 'creamy']",0.5095,,,0.5095
Chobani Smooth,"['yogurt', 'creamy', 'strawberry', 'taste', 'tart', 'sweet', 'present', 'product', 'chunk', 'fruit', 'nice', 'right', 'amount']",0.8458,,,0.8458
Chobani Original,"['packaging', 'nice', 'clearly', 'state', 'inside', 'greek', 'yogurt', 'strawberry', 'bottom']",0.6705,,,0.6705
Chobani Smooth,"['level', 'sweetness', 'sugary']",0.4939,,,0.4939
Chobani Original,"['creamy', 'nice', 'strawberry', 'flavor', 'sweet']",0.0823,,,0.0823
Chobani Smooth,"['like', 'yogurt', 'protein', 'regular', 'yogurt']",0.4215,,,0.4215
Chobani Original,"['sweet', 'small', 'glob', 'make', 'seem', 'richcreamythick', 'like', 'cottage', 'cheese']",-0.357,,,-0.357
Chobani Smooth,"['thinness', 'yogurt', 'smoothness']",0.0,,,0.0
Chobani Original,"['strawberry', 'flavor', 'fruit', 'piece']",0.0,,,0.0
Chobani Smooth,"['creamy', 'rich']",0.5574,,,0.5574
Chobani Original,"['creamy', 'texture', 'strawberry', 'flavor', 'good']",0.4404,,,0.4404
