product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,8,Lots of flavor in a small bite size treat.,4,Make it a bit bigger and/or fluffier,"['lot', 'flavor', 'small', 'bite', 'size', 'treat']","['make', 'bit', 'big', 'andor', 'fluffier']",0.4019,0
Low Drizzle,3,It was taller and not as flat,3,It needs way more flavor and more frosting,"['taller', 'flat']","['need', 'way', 'flavor', 'frosting']",0,0
Low Drizzle,6,The cinnamon flavor and texture were well balancd,2,The size. Much too small could be bigger,"['cinnamon', 'flavor', 'texture', 'well', 'balancd']","['size', 'much', 'small', 'could', 'big']",0.2732,0
High Drizzle,9,The sweet taste and texture,4,The size. Could be bigger,"['sweet', 'taste', 'texture']","['size', 'could', 'big']",0.4588,0
High Drizzle,4,It was really soft and chewy. There was enough frosting on it also which made it sweet enough.,3,Make it bigger.,"['really', 'soft', 'chewy', 'enough', 'frost', 'also', 'make', 'sweet', 'enough']","['make', 'big']",0.4588,0
Low Drizzle,4,It had a good cinnamon flavor,3,Make it bigger and less chewy. More like a cinnamon roll,"['good', 'cinnamon', 'flavor']","['make', 'big', 'less', 'chewy', 'like', 'cinnamon', 'roll']",0.4404,0.3673
Low Drizzle,8,Balance of soft and chewy was surprisingly good.,5,More frosting.,"['balance', 'soft', 'chewy', 'surprisingly', 'good']",['frost'],0.6249,0
High Drizzle,9,The frosting and softness.,5,Larger size.,"['frost', 'softness']","['large', 'size']",0,0
High Drizzle,2,It had the right amount of frosting,1,"The taste is very artificial, it is way too dense, very chewy and fake tasting","['right', 'amount', 'frost']","['taste', 'artificial', 'way', 'dense', 'chewy', 'fake', 'tasting']",0,-0.5209
Low Drizzle,2,"Better texture, less frosting, less dense",1,"Fake artificial flavor, not the texture of a cinnamon roll","['well', 'texture', 'less', 'frost', 'less', 'dense']","['fake', 'artificial', 'flavor', 'texture', 'cinnamon', 'roll']",0.4404,-0.4767
Low Drizzle,4,Softness when biting into it.,3,More cinnamon throughout and not clumpy pieces. Also too strong of cinnamon,"['softness', 'biting']","['cinnamon', 'throughout', 'clumpy', 'piece', 'also', 'strong', 'cinnamon']",0,0.5106
High Drizzle,7,Good balance of cinnamon to sweet,3,A tad more cinnamon but keep same amount of frosting to create a more balanced flavor.,"['good', 'balance', 'cinnamon', 'sweet']","['tad', 'cinnamon', 'keep', 'amount', 'frost', 'create', 'balance', 'flavor']",0.7096,0.3919
High Drizzle,2,Nothing,1,The texture is dry and gritty.  The roll does not taste fresh.  The cinnamon flavor is overwhelming.,['nothing'],"['texture', 'dry', 'gritty', 'roll', 'taste', 'fresh', 'cinnamon', 'flavor', 'overwhelm']",0,-0.2411
Low Drizzle,1,Nothing,1,Very dry and not flavorful enough.  When making desserts you want to make them flavorful and not just sweet.,['nothing'],"['dry', 'flavorful', 'enough', 'make', 'dessert', 'want', 'make', 'flavorful', 'sweet']",0,-0.2914
Low Drizzle,6,The appearance on the plate.,3,Add a little more sweetness,"['appearance', 'plate']","['add', 'little', 'sweetness']",0,0.4964
High Drizzle,7,Nice sweet taste with he extra frosting compared to other concept.,4,Add a little more cinnamon in.,"['nice', 'sweet', 'taste', 'extra', 'frosting', 'compare', 'concept']","['add', 'little', 'cinnamon']",0.7003,0
