product_code,liking,liking_free_text,post_taste_pi,meets_expectation_free_text
590,8,Lots of flavor in a small bite size treat.,4,Make it a bit bigger and/or fluffier
254,3,It was taller and not as flat,3,It needs way more flavor and more frosting
254,6,The cinnamon flavor and texture were well balancd,2,The size. Much too small could be bigger
590,9,The sweet taste and texture,4,The size. Could be bigger
590,4,It was really soft and chewy. There was enough frosting on it also which made it sweet enough.,3,Make it bigger.
254,4,It had a good cinnamon flavor,3,Make it bigger and less chewy. More like a cinnamon roll
254,8,Balance of soft and chewy was surprisingly good.,5,More frosting.
590,9,The frosting and softness.,5,Larger size.
590,2,It had the right amount of frosting,1,"The taste is very artificial, it is way too dense, very chewy and fake tasting"
254,2,"Better texture, less frosting, less dense",1,"Fake artificial flavor, not the texture of a cinnamon roll"
254,4,Softness when biting into it.,3,More cinnamon throughout and not clumpy pieces. Also too strong of cinnamon
590,7,Good balance of cinnamon to sweet,3,A tad more cinnamon but keep same amount of frosting to create a more balanced flavor.
590,2,Nothing,1,The texture is dry and gritty.  The roll does not taste fresh.  The cinnamon flavor is overwhelming.
254,1,Nothing,1,Very dry and not flavorful enough.  When making desserts you want to make them flavorful and not just sweet.
254,6,The appearance on the plate.,3,Add a little more sweetness
590,7,Nice sweet taste with he extra frosting compared to other concept.,4,Add a little more cinnamon in.
590,6,I like the sugary flavor of the frosting along with the softness of the cinnamon roll.,4,"Way too much cinnamon flavor, it leaves an aftertaste I’m not a fan of."
254,7,This is a great sweet snack. I like the taste and sweetness.,5,"I like frosting, so I might drizzle a little more on"
254,3,Nothing,1,Add more frosting. Make it less like a cookie and more like a cinnamon roll. Cinnamon rolls are soft. Make it bigger.
590,3,Nothing,1,Add more frosting. Make bigger and softer.
590,7,Softness and freshness.,4,"Make a little fluffier, less dense."
254,6,Softness,2,"More frosting, add sweetness."
254,6,I enjoyed the flavor and strong cinnamon taste. I was also very pleased with the soft texture.,2,I would like it to look more like a traditional cinnamon roll and have less of a cookie texture.
590,6,I liked the cinnamon flavor and soft chewy texture.,2,I wished it looked more like a traditional cinnamon roll. I also would prefer less frosting.
590,6,The chewiness of the cinnamon roll was a pleasant surprise.,4,"Reduce the amount of cinnamon flavor, I found it to be overpowering to the point of being unable to taste anything else."
254,8,The cinnamon roll was the perfect amount of sweetness without being overwhelming.,4,I would make it slightly more moist and make the cinnamon a little less visible. The cinnamon almost looked like raisins in this sample.
590,4,The size; portable,2,Sweetness-much too sweet and the denseness.
254,2,The size,2,Make it less sweet and more flaky
254,5,"Soft, flavors were as expected from the picture.",3,"Texture was a little too gritty for me, more frosting flavor"
590,8,"Really nice balance of flavors, soft, moist and chewiness that I would expect from a full size, fresh cinnamon roll.",4,Nothing
254,5,The taste and frosting were nice.,3,It needs to be fluffier with a better after taste.
590,7,Good cinnamon flavor and it was very moist.,3,It needs to be fluffier and a little bigger.
590,8,"Bite size is very fun, love this for my kids or a quick breakfast on the go.",4,"Fluffier, a little bigger."
254,8,"Great for on the go, great flavor, not too much frosting, could be a little thicker/fluffy.",4,Thicker/ fluffier
254,4,Cinnamon taste and frosting,3,I would change the texture and the sizs
590,3,Like the cinnamon and frosting amount and flavor,2,Less dry bigger flakier not so condensed it tastes more like cookie it’s too chewy
590,7,This sample tasted like a cinnamon roll should taste. It left a very pleasant taste in my mouth. It was soft and chewable and the frosting was very good.,3,The texture is more like a soft cookie rather than a cinnamon roll. It does not have the firmness of a cinnamon roll.
254,8,"This sample tastes MORE like a cinnamon roll. While I don’t like how the frosting looks, I do think there is enough to support the cinnamon taste and enhance the flavor. It seemed to be slightly more firm and less cookie like.",3,I would make it taller and have a spiral look like a cinnamon roll. It is currently flat and round like a cookie. I would make the frosting look more drippy like a cinnamon roll. The taste is really good.
254,8,It was soft and chewy. Cinnamon flavor was perfect.,4,Maybe a little softer with more frosting.
590,8,I loved the amount of frosting.,4,Make it a bit softer and more moist.
590,6,The texture and chewiness of the roll. I was expecting a dry texture and was pleasantly surprised by the soft texture.,4,Too much frosting and a little too much cinnamon flavor left an after taste.
254,9,There was not an over powering amount of frosting on this mini cinnamon roll.,5,The amount of cinnamon was a little too much for my desire as it was the last flavor left as the after taste.
254,7,Flavor and taste was ok,3,Needs to be bigger in size and more fluffier
590,7,Taste was good,3,Needs to be bigger in size and fluffy
590,9,"The taste was right on. The texture was smooth, and it was very tasty.",5,"Depending on how many you got in a bag, I would think it should be a bit bigger."
254,9,I like the concept of a mini cinnamon roll quite a bit. The texture and the amount of moisture were right on.,5,I would add more frosting!
254,3,"Good cinnamon flavor and right level of sweetness, The frosting did not overwhelm it.",3,Texture is like a cookie instead of a roll. It feels like it didn’t rise and has that doughy feel when I bite it.
590,4,Looks appealing as you can see the cinnamon and frosting is attractive.,3,Really the size is smaller than mini falling into bite-size category. It has more of a doughy texture and is more like a soft cookie than a roll. This one is almost too sweet without enough cinnamon to balance out.
590,6,The cinnamon flavor I can really taste and liked the frosting not tasting chalky.,3,"less frosting and not as chewy. When I think of cinnamon rolls, I think of fluffy and not chewy. Also I thought the mini cinnamon rolls will be a little bigger. These were micro size."
254,5,"Not hard, can taste a little of cinnamon, small for kids to consume",3,"Too thin, not enough frosting, needs a stronger cinnamon taste, too small for adult maybe a little bit bigger, not fluffy like a cinnamon roll, thought it was gonna be a version of the cinnamon rolls you find in the refrigerated section in the grocery store you put in the oven."
254,8,The softness was absolutely perfect! The overall flavor was pretty close to an baked cinnamon roll so I enjoyed the flavor too.,4,Add a little more cinnamon and make it a tad less sweat.
590,8,The amount of frosting is exactly right,5,The sweetness in the actual roll is a little too much with the right amount of frosting. More cinnamon in the roll and use the sweetness from the icing.
590,8,The flavor combo of this cinnamon roll is perfect. The balance of cinnamon’vanilla frosting’and bread is heavenly.,5,Larger portion and fluffier if possible.
254,8,It has a great cinnamon roll taste. It tastes like a cinnamon roll should taste. But it is too sweet.,5,Less sweet. Bigger size and cinnamon sprinkled on top of the frosting.
