product_code,liking,liking_free_text,like_compound,meets_expectation,meets_expectation_free_text,meets_expectation_compound,product_improvement_free_text,prod_improve_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm
Yoplait OSY,8,I like the taste. I like how creamy it is. I like the chunks of strawberries.,0.7579,4,I thought it would be bigger chunks of fruit since it says fruit on the bottom. It's mainly juice and small pieces of fruit at the bottom.,0,Thicker,0,"['like', 'taste', 'like', 'creamy', 'like', 'chunk', 'strawberry']","['thought', 'would', 'big', 'chunk', 'fruit', 'since', 'say', 'fruit', 'bottom', 'mainly', 'juice', 'small', 'piece', 'fruit', 'bottom']",['thicker']
Chobani Smooth,8,Great consistency. It lived up to the  smooth  name.,0.6249,4,None,0,Could use a little extra flavor,0,"['great', 'consistency', 'live', 'smooth', 'name']",['none'],"['could', 'use', 'little', 'extra', 'flavor']"
Yoplait OSY,9,I enjoy the flavor of the yogurt and the tart of it. I also like the amount of fruit on the bottom.,0.6908,3,I think the packaging shows everything this yogurt encompasses. I like the lettering that tell there is fruit on the bottom.,0.3612,I really enjoy this yogurt. I would keep it the same.,0.5413,"['enjoy', 'flavor', 'yogurt', 'tart', 'also', 'like', 'amount', 'fruit', 'bottom']","['think', 'packaging', 'show', 'everything', 'yogurt', 'encompasses', 'like', 'letter', 'tell', 'fruit', 'bottom']","['really', 'enjoy', 'yogurt', 'would', 'keep']"
Chobani Smooth,8,"Smooth and creamy with no seeds, tastes like strawberry ice cream.  No bad aftertaste.",-0.6597,5,"It said low fat, but didn't taste like low fat.  Was very impressed by the taste.",-0.071,Larger container and more varieties,0,"['smooth', 'creamy', 'seed', 'taste', 'like', 'strawberry', 'ice', 'cream', 'bad', 'aftertaste']","['say', 'low', 'fat', 'didnt', 'taste', 'like', 'low', 'fat', 'impress', 'taste']","['large', 'container', 'variety']"
Yoplait OSY,7,Did not have a sour taste like some Greek yogurts,0.3612,3,120 calories for nonfat yogurt seems like a lot.  Some of the wording was so small on the container I couldn't read it-under the pictures where it says Keep It Real.,0.3612,I'm not a real fan of the fruit that u stir into the product.  When I tore off the cover the top of the product was a bit watery and looked a little separated.,-0.0418,"['sour', 'taste', 'like', 'greek', 'yogurt']","['120', 'calorie', 'nonfat', 'yogurt', 'seem', 'like', 'lot', 'word', 'small', 'container', 'couldnt', 'read', 'itunder', 'picture', 'say', 'keep', 'real']","['im', 'real', 'fan', 'fruit', 'u', 'stir', 'product', 'tore', 'cover', 'top', 'product', 'bit', 'watery', 'look', 'little', 'separated']"
Chobani Smooth,4,It was very creamy. The bits of strawberry added flavor.,0,3,The content label was difficult to read and hard to find.,-0.4404,It was TOO sweet! Way too sweet. I would not buy this because of the 19 grams of sugar. I feel as though the protein content should meet or exceed the amount of sugar in a container of yogurt.,0.7424,"['creamy', 'bit', 'strawberry', 'add', 'flavor']","['content', 'label', 'difficult', 'read', 'hard', 'find']","['sweet', 'way', 'sweet', 'would', 'buy', '19', 'gram', 'sugar', 'feel', 'though', 'protein', 'content', 'meet', 'exceed', 'amount', 'sugar', 'container', 'yogurt']"
Yoplait OSY,8,"I like the creaminess, texture, and pleasant aftertaste. I really enjoy the thickness of this Chobani Greek Yogurt.",0.8516,4,"The average price is higher than expected, by about $0.20. This packaging isn't much different than the regular Chobani yogurt, so maybe to help stand out that this product has fruit on the bottom would be helpful.",0.6969,I would prefer slightly more fruit.,0,"['like', 'creaminess', 'texture', 'pleasant', 'aftertaste', 'really', 'enjoy', 'thickness', 'chobani', 'greek', 'yogurt']","['average', 'price', 'higher', 'expect', '020', 'packaging', 'isnt', 'much', 'different', 'regular', 'chobani', 'yogurt', 'maybe', 'help', 'stand', 'product', 'fruit', 'bottom', 'would', 'helpful']","['would', 'prefer', 'slightly', 'fruit']"
Chobani Smooth,7,"Very smooth, a great taste that's a balance of sweet and tangy. I liked that it tasted more like Greek yogurt than regular yogurt.",0.9181,4,"The package said it was regular yogurt, but it tasted like greek yogurt.",0.5023,"It was very watery. When I opened the lid, water splashed out. Even when I mixed it together, it was very runny.",0,"['smooth', 'great', 'taste', 'thats', 'balance', 'sweet', 'tangy', 'like', 'taste', 'like', 'greek', 'yogurt', 'regular', 'yogurt']","['package', 'say', 'regular', 'yogurt', 'taste', 'like', 'greek', 'yogurt']","['watery', 'open', 'lid', 'water', 'splash', 'even', 'mixed', 'together', 'runny']"
Yoplait OSY,9,I liked the strawberry flavor and the creamy Greek style consistency. I also liked the nutritional info.,0.6808,4,Try to communicate that the yogurt is Greek style but is creamy!,0,Eliminate or at least reduce the added cane sugar.,0,"['like', 'strawberry', 'flavor', 'creamy', 'greek', 'style', 'consistency', 'also', 'like', 'nutritional', 'info']","['try', 'communicate', 'yogurt', 'greek', 'style', 'creamy']","['eliminate', 'least', 'reduce', 'added', 'cane', 'sugar']"
Chobani Smooth,8,It has a nice pink color and pleasant strawberry smell.  I enjoyed the smooth texture and a good aftertaste.  The amount of sweetness was just right as well.,0.9485,4,It says real fruit but found none.  It was unexpected to have less sugar with as much sweetness as it had.  I'm also surprised it has more protein.,0.7684,I would like it to be a little thicker.  It should also have more/larger fruit pieces since the packaging says  real fruit .  I didn't have much fruit in my sample.,0.3612,"['nice', 'pink', 'color', 'pleasant', 'strawberry', 'smell', 'enjoy', 'smooth', 'texture', 'good', 'aftertaste', 'amount', 'sweetness', 'right', 'well']","['say', 'real', 'fruit', 'find', 'none', 'unexpected', 'less', 'sugar', 'much', 'sweetness', 'im', 'also', 'surprise', 'protein']","['would', 'like', 'little', 'thicker', 'also', 'morelarger', 'fruit', 'piece', 'since', 'packaging', 'say', 'real', 'fruit', 'didnt', 'much', 'fruit', 'sample']"
Yoplait OSY,8,good amount of real fruit mixed with yogurt  -just the right amount of sweetness  -liked the thickness and texture of this sample  -pleasant aftertaste,0.9042,3,,0,nothing comes to mind,0,"['good', 'amount', 'real', 'fruit', 'mixed', 'yogurt', 'right', 'amount', 'sweetness', 'like', 'thickness', 'texture', 'sample', 'pleasant', 'aftertaste']",['nan'],"['nothing', 'come', 'mind']"
Chobani Smooth,7,it was smooth without chunks,0,3,It was very watery...there was too much on the label making it hard to really see what makes it different from the other yogurts on the shelf,-0.1027,"I would make it thicker, it was too watery",0,"['smooth', 'without', 'chunk']","['waterythere', 'much', 'label', 'make', 'hard', 'really', 'see', 'make', 'different', 'yogurt', 'shelf']","['would', 'make', 'thicker', 'watery']"
Yoplait OSY,4,"It's a healthy, packaged option for getting protein. It's sweet, but not terribly sugary tasting. The design of the package is easy to hold.",0.8906,3,Nothing,0,It's almost too tart/yogurty tasting. I woudl prefer not to have to mix the yogurt. The first view of the product is somewhat unpleasant as it's watery and chunky.,-0.4228,"['healthy', 'package', 'option', 'get', 'protein', 'sweet', 'terribly', 'sugary', 'taste', 'design', 'package', 'easy', 'hold']",['nothing'],"['almost', 'tartyogurty', 'taste', 'woudl', 'prefer', 'mix', 'yogurt', 'first', 'view', 'product', 'somewhat', 'unpleasant', 'watery', 'chunky']"
Chobani Smooth,7,Smooth and creamy texture. Good flavor.,0.4404,5,Fruit bites were unexpected since that information was on side of container and not easy to see. I think fruit bites should be on front of container and not side so it is easily visible. It would be nice to have nutrition facts on container too.,0.4692,Subtract bits of fruit from product since I don't feel there were that many fruit bites anyways. Make less sweet. Place nutrition facts on container.,0.4033,"['smooth', 'creamy', 'texture', 'good', 'flavor']","['fruit', 'bite', 'unexpected', 'since', 'information', 'side', 'container', 'easy', 'see', 'think', 'fruit', 'bite', 'front', 'container', 'side', 'easily', 'visible', 'would', 'nice', 'nutrition', 'fact', 'container']","['subtract', 'bit', 'fruit', 'product', 'since', 'dont', 'feel', 'many', 'fruit', 'bite', 'anyways', 'make', 'less', 'sweet', 'place', 'nutrition', 'fact', 'container']"
Yoplait OSY,8,Creamy  Smooth  Filling  Ample chunks of strawberry  Real fruit  No after taste  Low in caleries  12 G protein,-0.5106,4,%of protein,0,Color - brighter pink  Sweeter,0.3818,"['creamy', 'smooth', 'filling', 'ample', 'chunk', 'strawberry', 'real', 'fruit', 'taste', 'low', 'caleries', '12', 'g', 'protein']",['protein'],"['color', 'brighter', 'pink', 'sweeter']"
