product,Question,Response,Sentiment Score,Response value,lemm
High Drizzle,Liking,Lots of flavor in a small bite size treat.,40.19,8,"['lot', 'flavor', 'small', 'bite', 'size', 'treat']"
Low Drizzle,Liking,It was taller and not as flat,0,3,"['taller', 'flat']"
Low Drizzle,Liking,The cinnamon flavor and texture were well balancd,27.32,6,"['cinnamon', 'flavor', 'texture', 'well', 'balancd']"
High Drizzle,Liking,The sweet taste and texture,45.88,9,"['sweet', 'taste', 'texture']"
High Drizzle,Liking,It was really soft and chewy. There was enough frosting on it also which made it sweet enough.,45.88,4,"['really', 'soft', 'chewy', 'enough', 'frost', 'also', 'make', 'sweet', 'enough']"
Low Drizzle,Liking,It had a good cinnamon flavor,44.04,4,"['good', 'cinnamon', 'flavor']"
Low Drizzle,Liking,Balance of soft and chewy was surprisingly good.,62.49,8,"['balance', 'soft', 'chewy', 'surprisingly', 'good']"
High Drizzle,Liking,The frosting and softness.,0,9,"['frost', 'softness']"
High Drizzle,Liking,It had the right amount of frosting,0,2,"['right', 'amount', 'frost']"
Low Drizzle,Liking,"Better texture, less frosting, less dense",44.04,2,"['well', 'texture', 'less', 'frost', 'less', 'dense']"
Low Drizzle,Liking,Softness when biting into it.,0,4,"['softness', 'biting']"
High Drizzle,Liking,Good balance of cinnamon to sweet,70.96,7,"['good', 'balance', 'cinnamon', 'sweet']"
High Drizzle,Liking,Nothing,0,2,['nothing']
Low Drizzle,Liking,Nothing,0,1,['nothing']
Low Drizzle,Liking,The appearance on the plate.,0,6,"['appearance', 'plate']"
High Drizzle,Liking,Nice sweet taste with he extra frosting compared to other concept.,70.03,7,"['nice', 'sweet', 'taste', 'extra', 'frosting', 'compare', 'concept']"
High Drizzle,Liking,I like the sugary flavor of the frosting along with the softness of the cinnamon roll.,36.12,6,"['like', 'sugary', 'flavor', 'frost', 'along', 'softness', 'cinnamon', 'roll']"
Low Drizzle,Liking,This is a great sweet snack. I like the taste and sweetness.,91.53,7,"['great', 'sweet', 'snack', 'like', 'taste', 'sweetness']"
Low Drizzle,Liking,Nothing,0,3,['nothing']
High Drizzle,Liking,Nothing,0,3,['nothing']
High Drizzle,Liking,Softness and freshness.,0,7,"['softness', 'freshness']"
Low Drizzle,Liking,Softness,0,6,['softness']
Low Drizzle,Liking,I enjoyed the flavor and strong cinnamon taste. I was also very pleased with the soft texture.,86.87,6,"['enjoy', 'flavor', 'strong', 'cinnamon', 'taste', 'also', 'please', 'soft', 'texture']"
High Drizzle,Liking,I liked the cinnamon flavor and soft chewy texture.,42.15,6,"['liked', 'cinnamon', 'flavor', 'soft', 'chewy', 'texture']"
High Drizzle,Liking,The chewiness of the cinnamon roll was a pleasant surprise.,65.97,6,"['chewiness', 'cinnamon', 'roll', 'pleasant', 'surprise']"
Low Drizzle,Liking,The cinnamon roll was the perfect amount of sweetness without being overwhelming.,78.45,8,"['cinnamon', 'roll', 'perfect', 'amount', 'sweetness', 'without', 'overwhelm']"
High Drizzle,Liking,The size; portable,0,4,"['size', 'portable']"
Low Drizzle,Liking,The size,0,2,['size']
Low Drizzle,Liking,"Soft, flavors were as expected from the picture.",0,5,"['soft', 'flavor', 'expect', 'picture']"
High Drizzle,Liking,"Really nice balance of flavors, soft, moist and chewiness that I would expect from a full size, fresh cinnamon roll.",65.9,8,"['really', 'nice', 'balance', 'flavor', 'soft', 'moist', 'chewiness', 'would', 'expect', 'full', 'size', 'fresh', 'cinnamon', 'roll']"
Low Drizzle,Liking,The taste and frosting were nice.,42.15,5,"['taste', 'frosting', 'nice']"
High Drizzle,Liking,Good cinnamon flavor and it was very moist.,44.04,7,"['good', 'cinnamon', 'flavor', 'moist']"
High Drizzle,Liking,"Bite size is very fun, love this for my kids or a quick breakfast on the go.",84.31,8,"['bite', 'size', 'fun', 'love', 'kid', 'quick', 'breakfast', 'go']"
Low Drizzle,Liking,"Great for on the go, great flavor, not too much frosting, could be a little thicker/fluffy.",84.81,8,"['great', 'go', 'great', 'flavor', 'much', 'frosting', 'could', 'little', 'thickerfluffy']"
Low Drizzle,Liking,Cinnamon taste and frosting,0,4,"['cinnamon', 'taste', 'frosting']"
High Drizzle,Liking,Like the cinnamon and frosting amount and flavor,36.12,3,"['like', 'cinnamon', 'frosting', 'amount', 'flavor']"
High Drizzle,Liking,This sample tasted like a cinnamon roll should taste. It left a very pleasant taste in my mouth. It was soft and chewable and the frosting was very good.,85.14,7,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'leave', 'pleasant', 'taste', 'mouth', 'soft', 'chewable', 'frosting', 'good']"
Low Drizzle,Liking,"This sample tastes MORE like a cinnamon roll. While I dont like how the frosting looks, I do think there is enough to support the cinnamon taste and enhance the flavor. It seemed to be slightly more firm and less cookie like.",92.28,8,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'don\x92t', 'like', 'frost', 'look', 'think', 'enough', 'support', 'cinnamon', 'taste', 'enhance', 'flavor', 'seem', 'slightly', 'firm', 'less', 'cookie', 'like']"
Low Drizzle,Liking,It was soft and chewy. Cinnamon flavor was perfect.,57.19,8,"['soft', 'chewy', 'cinnamon', 'flavor', 'perfect']"
High Drizzle,Liking,I loved the amount of frosting.,59.94,8,"['loved', 'amount', 'frosting']"
High Drizzle,Liking,The texture and chewiness of the roll. I was expecting a dry texture and was pleasantly surprised by the soft texture.,61.24,6,"['texture', 'chewiness', 'roll', 'expect', 'dry', 'texture', 'pleasantly', 'surprise', 'soft', 'texture']"
Low Drizzle,Liking,There was not an over powering amount of frosting on this mini cinnamon roll.,0,9,"['power', 'amount', 'frost', 'mini', 'cinnamon', 'roll']"
Low Drizzle,Liking,Flavor and taste was ok,29.6,7,"['flavor', 'taste', 'ok']"
High Drizzle,Liking,Taste was good,44.04,7,"['taste', 'good']"
High Drizzle,Liking,"The taste was right on. The texture was smooth, and it was very tasty.",0,9,"['taste', 'right', 'texture', 'smooth', 'tasty']"
Low Drizzle,Liking,I like the concept of a mini cinnamon roll quite a bit. The texture and the amount of moisture were right on.,36.12,9,"['like', 'concept', 'mini', 'cinnamon', 'roll', 'quite', 'bit', 'texture', 'amount', 'moisture', 'right']"
Low Drizzle,Liking,"Good cinnamon flavor and right level of sweetness, The frosting did not overwhelm it.",76.62,3,"['good', 'cinnamon', 'flavor', 'right', 'level', 'sweetness', 'frost', 'overwhelm']"
High Drizzle,Liking,Looks appealing as you can see the cinnamon and frosting is attractive.,44.04,4,"['look', 'appeal', 'see', 'cinnamon', 'frost', 'attractive']"
High Drizzle,Liking,The cinnamon flavor I can really taste and liked the frosting not tasting chalky.,47.03,6,"['cinnamon', 'flavor', 'really', 'taste', 'liked', 'frost', 'taste', 'chalky']"
Low Drizzle,Liking,"Not hard, can taste a little of cinnamon, small for kids to consume",7.62,5,"['hard', 'taste', 'little', 'cinnamon', 'small', 'kid', 'consume']"
Low Drizzle,Liking,The softness was absolutely perfect! The overall flavor was pretty close to an baked cinnamon roll so I enjoyed the flavor too.,91.4,8,"['softness', 'absolutely', 'perfect', 'overall', 'flavor', 'pretty', 'close', 'baked', 'cinnamon', 'roll', 'enjoy', 'flavor']"
High Drizzle,Liking,The amount of frosting is exactly right,0,8,"['amount', 'frost', 'exactly', 'right']"
High Drizzle,Liking,The flavor combo of this cinnamon roll is perfect. The balance of cinnamonvanilla frostingand bread is heavenly.,82.71,8,"['flavor', 'combo', 'cinnamon', 'roll', 'perfect', 'balance', 'cinnamon\x92vanilla', 'frosting\x92and', 'bread', 'heavenly']"
Low Drizzle,Liking,It has a great cinnamon roll taste. It tastes like a cinnamon roll should taste. But it is too sweet.,80.74,8,"['great', 'cinnamon', 'roll', 'taste', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'sweet']"
Low Drizzle,Liking,Bite size actual size my kids would love,63.69,7,"['bite', 'size', 'actual', 'size', 'kid', 'would', 'love']"
High Drizzle,Liking,Love the frosting portion. It looks like the picture. No disappoinment!,69.96,8,"['love', 'frost', 'portion', 'look', 'like', 'picture', 'disappoinment']"
High Drizzle,Liking,The frosting is fairly tasty and the roll isnt as rubbery as I thought it would be.,0,4,"['frost', 'fairly', 'tasty', 'roll', 'isn\x92t', 'rubbery', 'thought', 'would']"
Low Drizzle,Liking,The frosting is tasty.,0,4,"['frost', 'tasty']"
Low Drizzle,Liking,Nothing,0,1,['nothing']
High Drizzle,Liking,Nothing,0,2,['nothing']
High Drizzle,Liking,While I liked the texture the most it was not what I was expecting from a cinnamon roll but very good,73.43,6,"['liked', 'texture', 'expect', 'cinnamon', 'roll', 'good']"
Low Drizzle,Liking,The cinnamon flavor and the after taste,0,7,"['cinnamon', 'flavor', 'taste']"
Low Drizzle,Liking,I like the size and the initial flavor,36.12,5,"['like', 'size', 'initial', 'flavor']"
High Drizzle,Liking,It didnt leave the aftertaste that the previous sample did and was just the right amount of sweetness.,45.88,6,"['didn\x92t', 'leave', 'aftertaste', 'previous', 'sample', 'right', 'amount', 'sweetness']"
High Drizzle,Liking,"Small size, bite size, good for little fingers, kids.",44.04,2,"['small', 'size', 'bite', 'size', 'good', 'little', 'finger', 'kid']"
Low Drizzle,Liking,"Just enough frosting, bite size and good for small hands",44.04,4,"['enough', 'frost', 'bite', 'size', 'good', 'small', 'hand']"
Low Drizzle,Liking,It much actually,0,2,"['much', 'actually']"
High Drizzle,Liking,It a lot other than it had more frosting,0,4,"['lot', 'frost']"
High Drizzle,Liking,I liked the cinnamon flavor and the amount of frosting.,42.15,3,"['liked', 'cinnamon', 'flavor', 'amount', 'frost']"
Low Drizzle,Liking,I like that it wasnt too sweet.,67.05,3,"['like', 'wasn\x92t', 'sweet']"
Low Drizzle,Liking,I love cinnamon so it tasted better than expected.  I think this would be a great grab and go in the morning.,90.93,8,"['love', 'cinnamon', 'taste', 'well', 'expect', 'think', 'would', 'great', 'grab', 'go', 'morning']"
High Drizzle,Liking,The amount of frosting.,0,8,"['amount', 'frosting']"
High Drizzle,Liking,I liked the cinnamon flavor. It tasted moist and not dry.,42.15,8,"['liked', 'cinnamon', 'flavor', 'taste', 'moist', 'dry']"
Low Drizzle,Liking,"I liked the cinnamon flavor, it was sweet but not over powering. Just the right amount of frosting on top. It wasnt too chewy, it was moist enough.",62.49,9,"['liked', 'cinnamon', 'flavor', 'sweet', 'power', 'right', 'amount', 'frost', 'top', 'wasn\x92t', 'chewy', 'moist', 'enough']"
Low Drizzle,Liking,I liked the crunchiness of the frosting and the size,42.15,4,"['liked', 'crunchiness', 'frost', 'size']"
High Drizzle,Liking,"I loved the flavor, the crunchiness of the frosting",59.94,8,"['love', 'flavor', 'crunchiness', 'frosting']"
High Drizzle,Liking,Flavor was good. Not too sweet good cinnamon amount.,51.39,5,"['flavor', 'good', 'sweet', 'good', 'cinnamon', 'amount']"
Low Drizzle,Liking,The right amount of frosting helped keep the sweetness the right amount.,49.39,7,"['right', 'amount', 'frosting', 'help', 'keep', 'sweetness', 'right', 'amount']"
Low Drizzle,Liking,I like that this incorporated all the flavors of a cinnamon roll in a bite size form.,36.12,4,"['like', 'incorporate', 'flavor', 'cinnamon', 'roll', 'bite', 'size', 'form']"
High Drizzle,Liking,The texture and softness of the mini is good.,44.04,4,"['texture', 'softness', 'mini', 'good']"
High Drizzle,Liking,Great bite size very tasty I liked how chewy they were and not to sweet.,69.06,9,"['great', 'bite', 'size', 'tasty', 'like', 'chewy', 'sweet']"
Low Drizzle,Liking,This one had less frosting so I wasnt sure if I would like it as much as the other one however I actually liked it just as much. Love the bite size my kids will love it. Its not sticky so no sticky fingers,92.48,9,"['one', 'less', 'frost', 'wasn\x92t', 'sure', 'would', 'like', 'much', 'one', 'however', 'actually', 'like', 'much', 'love', 'bite', 'size', 'kid', 'love', 'it\x92s', 'sticky', 'sticky', 'finger']"
Low Drizzle,Liking,That it was in a cookie form.,0,7,"['cookie', 'form']"
High Drizzle,Liking,There was more frosting than the previous sample.,0,8,"['frost', 'previous', 'sample']"
High Drizzle,Liking,Good cinnamon flavor,44.04,4,"['good', 'cinnamon', 'flavor']"
Low Drizzle,Liking,Texture and flavor good,44.04,7,"['texture', 'flavor', 'good']"
Low Drizzle,Liking,"Flavor was amazing and it was perfect texture wise, great mini snack.",94.03,7,"['flavor', 'amaze', 'perfect', 'texture', 'wise', 'great', 'mini', 'snack']"
