word,frequency,sentiment_mean,product,question
like,9,2.71,Chobani Original,Product Improvement
yogurt,19,10.63,Chobani Original,Product Improvement
flavor,2,-16.83,Chobani Original,Product Improvement
fruit,17,9.22,Chobani Original,Product Improvement
strawberry,15,-10.29,Chobani Original,Product Improvement
taste,4,-21.41,Chobani Original,Product Improvement
would,13,24.74,Chobani Original,Product Improvement
smooth,2,49.14,Chobani Original,Product Improvement
good,3,26.74,Chobani Original,Product Improvement
creamy,1,0.00,Chobani Original,Product Improvement
like,18,19.07,Chobani Smooth,Product Improvement
yogurt,15,19.59,Chobani Smooth,Product Improvement
flavor,28,13.65,Chobani Smooth,Product Improvement
fruit,29,15.59,Chobani Smooth,Product Improvement
strawberry,34,9.06,Chobani Smooth,Product Improvement
taste,9,-0.43,Chobani Smooth,Product Improvement
would,29,31.71,Chobani Smooth,Product Improvement
smooth,5,31.75,Chobani Smooth,Product Improvement
good,4,51.83,Chobani Smooth,Product Improvement
creamy,2,-10.31,Chobani Smooth,Product Improvement
like,11,25.60,Chobani Original,Meets Expectation
yogurt,18,27.43,Chobani Original,Meets Expectation
flavor,6,47.53,Chobani Original,Meets Expectation
fruit,16,15.82,Chobani Original,Meets Expectation
strawberry,8,28.91,Chobani Original,Meets Expectation
taste,6,28.24,Chobani Original,Meets Expectation
would,10,24.12,Chobani Original,Meets Expectation
smooth,1,80.67,Chobani Original,Meets Expectation
good,2,44.04,Chobani Original,Meets Expectation
creamy,1,0.00,Chobani Original,Meets Expectation
like,29,35.84,Chobani Smooth,Meets Expectation
yogurt,41,15.89,Chobani Smooth,Meets Expectation
flavor,15,21.17,Chobani Smooth,Meets Expectation
fruit,23,6.92,Chobani Smooth,Meets Expectation
strawberry,7,33.47,Chobani Smooth,Meets Expectation
taste,18,18.08,Chobani Smooth,Meets Expectation
would,29,16.52,Chobani Smooth,Meets Expectation
smooth,17,18.39,Chobani Smooth,Meets Expectation
good,12,59.70,Chobani Smooth,Meets Expectation
creamy,4,22.54,Chobani Smooth,Meets Expectation
like,32,68.93,Chobani Original,Liking
yogurt,23,62.59,Chobani Original,Liking
flavor,32,49.92,Chobani Original,Liking
fruit,18,36.44,Chobani Original,Liking
strawberry,23,57.22,Chobani Original,Liking
taste,20,51.29,Chobani Original,Liking
would,1,10.78,Chobani Original,Liking
smooth,8,44.08,Chobani Original,Liking
good,25,56.48,Chobani Original,Liking
creamy,20,31.18,Chobani Original,Liking
like,42,56.28,Chobani Smooth,Liking
yogurt,25,51.13,Chobani Smooth,Liking
flavor,36,40.31,Chobani Smooth,Liking
fruit,15,32.41,Chobani Smooth,Liking
strawberry,26,38.32,Chobani Smooth,Liking
taste,36,45.64,Chobani Smooth,Liking
would,2,67.43,Chobani Smooth,Liking
smooth,45,41.04,Chobani Smooth,Liking
good,24,53.58,Chobani Smooth,Liking
creamy,37,33.30,Chobani Smooth,Liking
creamy,22,10.39,Chobani Original,All Questions
flavor,40,26.87,Chobani Original,All Questions
fruit,51,20.49,Chobani Original,All Questions
good,30,42.42,Chobani Original,All Questions
like,52,32.41,Chobani Original,All Questions
smooth,11,57.96,Chobani Original,All Questions
strawberry,46,25.28,Chobani Original,All Questions
taste,30,19.37,Chobani Original,All Questions
would,24,19.88,Chobani Original,All Questions
yogurt,60,33.55,Chobani Original,All Questions
creamy,43,15.18,Chobani Smooth,All Questions
flavor,79,25.04,Chobani Smooth,All Questions
fruit,67,18.31,Chobani Smooth,All Questions
good,40,55.04,Chobani Smooth,All Questions
like,89,37.06,Chobani Smooth,All Questions
smooth,67,30.39,Chobani Smooth,All Questions
strawberry,67,26.95,Chobani Smooth,All Questions
taste,63,21.10,Chobani Smooth,All Questions
would,60,38.55,Chobani Smooth,All Questions
yogurt,81,28.87,Chobani Smooth,All Questions
